Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Percent,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Percent,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Total,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Total,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Total,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Total,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Total,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeOffShift,Average,NaN
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeOffShift,Average,NaN
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeOffShift,Average,NaN
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeOffShift,Average,NaN
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeOffShift,Average,NaN
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeOffShift,Occurrences,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeOffShift,Occurrences,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeOffShift,Occurrences,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeOffShift,Occurrences,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeOffShift,Occurrences,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeOffShift,Percent,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeOffShift,Percent,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeOffShift,Percent,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeOffShift,Percent,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeOffShift,Percent,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeOffShift,Total,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeOffShift,Total,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeOffShift,Total,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeOffShift,Total,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeOffShift,Total,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Average,NaN
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Average,NaN
