"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"ELEGPUS","199002","218.83","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199003","233.252","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199004","218.373","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199005","230.832","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199006","258.176","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199007","275.71","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199008","278.19","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199009","246.662","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199010","232.783","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199011","220.509","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199012","244.224","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199013","2901.322","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199101","256.755","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199102","217.949","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199103","229.692","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199104","217.484","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199105","243.999","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199106","258.098","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199107","283.052","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199108","279.481","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199109","243.747","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199110","233.308","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199111","230.132","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199112","241.863","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199113","2935.561","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199201","254.276","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199202","227.67","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199203","235.536","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199204","221.761","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199205","231.471","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199206","248.93","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199207","280.489","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199208","268.665","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199209","247.35","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199210","232.239","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","199211","231.404","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
